drugbank_id	chebi_id	MeSH
DB00160	57972	D000409
DB00160	66916	D000409
DB00160	76050	D000409
DB00161	16414	D014633
DB00161	27266	D014633
DB00161	27477	D014633
DB00161	32851	D014633
DB00161	32852	D014633
DB00161	32855	D014633
DB00161	32856	D014633
DB00161	32859	D014633
DB00161	32860	D014633
DB00161	57762	D014633
DB00161	74338	D014633
DB00162	16302	D014801
DB00162	17336	D014801
DB00162	45479	D014801
DB00162	50211	D014801
DB00162	78272	D014801
DB00163	18145	D014810
DB00163	46430	D014810
DB00165	16709	D011736
DB00166	16494	D008063
DB00166	30313	D008063
DB00166	30314	D008063
DB00166	43796	D008063
DB00166	83088	D008063
DB00167	17191	D007532
DB00167	20899	D007532
DB00167	27730	D007532
DB00167	32604	D007532
DB00167	32605	D007532
DB00167	32608	D007532
DB00167	32609	D007532
DB00167	38264	D007532
DB00167	43433	D007532
DB00167	58045	D007532
DB00168	2877	
DB00169	28940	D002762
DB00170	28869	
DB00171	15422	D000255
DB00171	30616	D000255
DB00171	30617	D000255
DB00171	50732	D000255
DB00171	57299	D000255
DB00172	16313	D011392
DB00172	17203	D011392
DB00172	26271	D011392
DB00172	32862	D011392
DB00172	32864	D011392
DB00172	32867	D011392
DB00172	32868	D011392
DB00172	32871	D011392
DB00172	32872	D011392
DB00172	57726	D011392
DB00172	60039	D011392
DB00173	16708	D000225
DB00174	17196	D001216
DB00174	22653	D001216
DB00174	28159	D001216
DB00174	32650	D001216
DB00174	32651	D001216
DB00174	32656	D001216
DB00174	32657	D001216
DB00174	32660	D001216
DB00174	32661	D001216
DB00174	58048	D001216
DB00174	74337	D001216
DB00175	63618	D017035
DB00175	63660	D017035
DB00175	8361	D017035
DB00176	5138	D016666
DB00177	9927	D000068756
DB00178	8774	D017257
DB00179	73468	D009637
DB00179	7625	D009637
DB00180	5106	C007734
DB00181	2972	D001418
DB00182	2679	C090411
DB00182	2679	D000661
DB00182	42724	C090411
DB00182	42724	D000661
DB00182	4469	C090411
DB00182	4469	D000661
DB00184	17688	D009538
DB00184	17688	D061485
DB00184	18723	D009538
DB00184	18723	D061485
DB00184	39162	D009538
DB00184	39162	D061485
DB00184	59806	D009538
DB00184	59806	D061485
DB00184	79008	D009538
DB00184	79008	D061485
DB00185	3568	C059240
DB00187	4856	C036604
DB00187	4857	C036604
DB00187	60074	C036604
DB00187	60075	C036604
DB00188	52717	D000069286
DB00189	4882	D004984
DB00190	15377	D002230
DB00190	16234	D002230
DB00190	29374	D002230
DB00190	29375	D002230
DB00190	29412	D002230
DB00190	33806	D002230
DB00190	33811	D002230
DB00190	33813	D002230
DB00190	3395	D002230
DB00190	39585	D002230
DB00190	41981	D002230
DB00191	50506	D010645
DB00191	50508	D010645
DB00191	8080	D010645
DB00193	75722	D014147
DB00193	75725	D014147
DB00193	75731	D014147
DB00193	75733	D014147
DB00193	75734	D014147
DB00193	75737	D014147
DB00193	75738	D014147
DB00194	16335	D014740
DB00194	45327	D014740
DB00194	46515	D014740
DB00195	3082	D015784
DB00195	59251	D015784
DB00195	59254	D015784
DB00195	59255	D015784
DB00195	59256	D015784
DB00195	643228	D015784
DB00196	46081	D015725
DB00197	9753	C057693
DB00198	7798	D053139
DB00198	7799	D053139
DB00199	42355	C056625
DB00199	42355	C011462
DB00199	42355	C010948
DB00199	42355	D004917
DB00199	42355	D004918
DB00199	42355	D015643
DB00199	42355	C011807
DB00199	64268	C056625
DB00199	64268	C011462
DB00199	64268	C010948
DB00199	64268	D004917
DB00199	64268	D004918
DB00199	64268	D015643
DB00199	64268	C011807
DB00200	15377	D006879
DB00200	15852	D006879
DB00200	16234	D006879
DB00200	27786	D006879
DB00200	29374	D006879
DB00200	29375	D006879
DB00200	29412	D006879
DB00200	33806	D006879
DB00200	33811	D006879
DB00200	33813	D006879
DB00200	41981	D006879
DB00200	49415	D006879
DB00201	27732	C026189
DB00201	27732	D002110
DB00202	45652	D013390
