batch	pmcid
0	PMC2289422
0	PMC2289423
0	PMC2289424
0	PMC2289425
0	PMC2289426
0	PMC2289427
0	PMC2289428
0	PMC2289429
0	PMC2289430
0	PMC2289434
0	PMC2289435
0	PMC2289436
0	PMC2289437
0	PMC2289438
0	PMC2289439
0	PMC2289440
0	PMC2289441
0	PMC2289442
0	PMC2289443
0	PMC2289444
0	PMC2289445
0	PMC2289446
0	PMC2289447
0	PMC2289448
0	PMC2289449
0	PMC2289450
0	PMC2289451
0	PMC2289452
0	PMC2289453
0	PMC2289454
0	PMC2289455
0	PMC2289456
0	PMC2289457
0	PMC2289458
0	PMC2289459
0	PMC2289460
0	PMC2289461
0	PMC2289462
0	PMC2289463
0	PMC2289464
0	PMC2289465
0	PMC2289466
0	PMC2289467
0	PMC2289468
0	PMC2289469
0	PMC2289470
0	PMC2289471
0	PMC2289472
0	PMC2289473
0	PMC2289474
0	PMC2289475
0	PMC2289476
0	PMC2289477
0	PMC2289478
0	PMC2289479
0	PMC2289480
0	PMC2289481
0	PMC2289482
0	PMC2289483
0	PMC2289484
0	PMC2289485
0	PMC2289486
0	PMC2289487
0	PMC2289488
0	PMC2289489
0	PMC2289490
0	PMC2289491
0	PMC2289492
0	PMC2289493
0	PMC2289494
0	PMC2289495
0	PMC2289496
0	PMC2289497
0	PMC2289498
0	PMC2289499
0	PMC2289500
0	PMC2289501
0	PMC2289502
0	PMC2289503
0	PMC2289504
0	PMC2289505
0	PMC2289506
0	PMC2289507
0	PMC2289508
0	PMC2289509
0	PMC2289510
0	PMC2289512
0	PMC2289513
0	PMC2289514
0	PMC2289515
0	PMC2289517
0	PMC2289518
0	PMC2289519
0	PMC2289520
0	PMC2289521
0	PMC2289522
0	PMC2289524
0	PMC2289525
0	PMC4272812
0	PMC4272813
1	PMC4272814
1	PMC4272815
1	PMC4272816
1	PMC4272818
1	PMC4272820
1	PMC4272821
1	PMC4272822
1	PMC4272823
1	PMC4272824
1	PMC4272825
1	PMC4272826
1	PMC4272827
1	PMC4272828
1	PMC4272829
1	PMC4272830
1	PMC4272831
1	PMC4272832
1	PMC4272833
1	PMC4272834
1	PMC4272835
1	PMC4272836
1	PMC4272837
1	PMC4272838
1	PMC4272839
1	PMC4272840
1	PMC4272841
1	PMC4272842
1	PMC4272843
1	PMC4272844
1	PMC4272845
1	PMC4272846
1	PMC4272847
