pubmed_id	type	identifier	offset	end
2289422	Compound	DB00126	514	527
2289422	Compound	DB09541	514	527
2289422	Compound	DB00755	1544	1557
2289424	Compound	DB00145	590	606
2289424	Compound	DB00145	1155	1162
2289424	Compound	DB00145	1679	1695
2289425	Gene	7531	297	301
2289426	Compound	DB09152	262	263
2289427	Gene	1877	543	546
2289428	Gene	838	634	667
2289428	Gene	496	681	691
2289428	Gene	3054	1095	1101
2289428	Gene	3054	1417	1423
2289429	Disease	DOID:2531	450	457
2289434	Gene	3054	63	69
2289434	Gene	3054	471	477
2289434	Gene	3054	517	523
2289434	Gene	3054	611	617
2289434	Gene	3054	713	719
2289434	Gene	838	821	827
2289434	Gene	838	933	939
2289434	Gene	3054	1008	1014
2289434	Gene	3054	1029	1035
2289434	Gene	22999	1075	1090
2289434	Disease	DOID:1909	1237	1245
2289434	Gene	3054	1401	1407
2289434	Gene	3054	1419	1425
2289434	Gene	3054	1591	1597
2289434	Gene	3054	1790	1796
2289434	Gene	22999	2082	2097
2289434	Gene	3054	2157	2163
2289434	Gene	3054	2240	2246
2289436	Gene	540	0	31
2289436	Gene	540	449	480
2289436	Gene	540	482	490
2289436	Gene	540	1563	1571
2289437	Gene	1876	14	38
2289437	Gene	1876	130	154
2289437	Gene	1876	156	159
2289437	Compound	DB00624	205	217
2289437	Gene	1876	386	389
2289437	Gene	1876	488	491
2289437	Gene	1877	627	639
2289437	Gene	1877	712	724
2289437	Gene	1877	833	845
2289437	Gene	1876	1004	1007
2289437	Gene	1876	1204	1207
2289440	Gene	55829	281	300
2289440	Gene	55829	302	305
2289440	Gene	55829	416	419
2289440	Gene	55829	496	499
2289440	Gene	55829	660	663
2289440	Gene	55829	859	862
2289440	Gene	1545	907	913
2289440	Gene	1545	1255	1261
2289440	Gene	55829	1439	1442
2289440	Gene	1545	1512	1518
2289440	Gene	55829	1648	1651
2289440	Gene	1545	1671	1678
2289441	Compound	DB09152	264	265
2289441	Gene	3908	889	892
2289443	Gene	55643	62	75
2289443	Gene	55643	278	281
2289443	Gene	55643	361	364
2289443	Gene	55643	585	588
2289443	Gene	55643	769	772
2289443	Gene	55643	857	860
2289443	Gene	55643	906	909
2289443	Gene	55643	1175	1178
2289445	Gene	8829	95	121
2289445	Gene	8829	293	345
2289445	Gene	8829	406	409
2289445	Gene	8829	527	530
2289445	Gene	8829	1041	1044
2289445	Gene	539	1180	1185
2289445	Gene	8829	1438	1441
2289446	Compound	DB03106	774	803
2289446	Gene	4580	999	1004
2289447	Compound	DB00171	603	606
2289447	Compound	DB00640	603	606
2289447	Gene	2591	820	836
2289449	Compound	DB00974	852	856
2289449	Compound	DB09153	870	874
2289449	Gene	22999	957	972
2289449	Gene	22999	1079	1094
2289449	Gene	22999	1176	1191
2289450	Gene	4502	58	99
2289450	Gene	4502	101	104
2289450	Gene	4502	201	204
2289450	Gene	4502	329	332
2289450	Gene	4502	433	436
2289450	Gene	4502	527	530
2289450	Compound	DB00171	1073	1076
2289450	Compound	DB00640	1073	1076
2289450	Gene	4502	1185	1188
2289451	Compound	DB00171	1235	1238
2289451	Compound	DB00640	1235	1238
2289452	Compound	DB00171	823	826
2289452	Compound	DB00640	823	826
2289452	Compound	DB00171	861	864
2289452	Compound	DB00640	861	864
2289452	Compound	DB00171	975	978
2289452	Compound	DB00640	975	978
2289453	Compound	DB00151	647	656
2289453	Compound	DB09485	647	656
2289453	Compound	DB00928	1553	1564
2289453	Gene	1850	1586	1590
2289453	Gene	22999	1685	1700
2289454	Gene	539	432	442
2289454	Gene	539	444	473
2289454	Gene	539	475	482
2289454	Gene	389	486	496
2289454	Gene	389	498	539
2289454	Gene	389	541	547
2289454	Gene	2260	555	565
2289454	Gene	2260	567	574
2289454	Gene	539	759	769
2289454	Gene	539	1061	1072
2289454	Gene	539	1286	1296
2289457	Gene	173	49	56
2289457	Compound	DB09341	69	76
2289457	Compound	DB11280	69	76
2289457	Compound	DB09341	164	171
2289457	Compound	DB11280	164	171
2289457	Gene	173	216	223
2289457	Compound	DB09341	235	242
2289457	Compound	DB11280	235	242
2289457	Gene	173	254	261
2289457	Compound	DB09341	272	279
2289457	Compound	DB11280	272	279
2289457	Gene	173	500	507
2289457	Compound	DB09341	649	656
2289457	Compound	DB11280	649	656
2289462	Compound	DB00541	1918	1929
2289465	Gene	3908	0	3
2289465	Compound	DB03128	60	73
2289465	Gene	3908	168	198
2289465	Gene	3908	200	203
2289465	Compound	DB03128	252	265
2289465	Gene	3908	416	419
2289465	Gene	3908	571	574
2289465	Gene	3908	871	874
2289465	Gene	3908	892	895
2289465	Gene	3908	1046	1049
2289465	Gene	3908	1254	1257
2289465	Gene	3908	1331	1334
2289473	Gene	1876	184	203
2289473	Gene	1876	205	208
2289473	Gene	1876	559	562
2289473	Gene	1876	785	788
2289473	Gene	1876	835	838
2289473	Gene	4487	1059	1063
