Journal Title	ISSN	eISSN	Year	Volume	Issue	Page	DOI	PMCID	PMID	Manuscript Id	Release Date
J Cell Biol	0021-9525	1540-8140	1992	117.0	2	427	10.1083/jcb.117.2.427	PMC2289422	1560033		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	2	269	10.1083/jcb.117.2.269	PMC2289423	1313813		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	2	311	10.1083/jcb.117.2.311	PMC2289424	1560028		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	2	437	10.1083/jcb.117.2.437	PMC2289425	1373145		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	2	245	10.1083/jcb.117.2.245	PMC2289426	1560026		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	2	291	10.1083/jcb.117.2.291	PMC2289427	1313814		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	2	461	10.1083/jcb.117.2.461	PMC2289428	1560035		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	2	337	10.1083/jcb.117.2.337	PMC2289429	1373142		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	2	327	10.1083/jcb.117.2.327	PMC2289430	1560029		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	3	659	10.1083/jcb.117.3.659	PMC2289434	1374069		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	3	493	10.1083/jcb.117.3.493	PMC2289435	1315314		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	3	679	10.1083/jcb.117.3.679	PMC2289436	1572896		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	3	629	10.1083/jcb.117.3.629	PMC2289437	1315318		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	3	515	10.1083/jcb.117.3.515	PMC2289438	1572893		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	3	687	10.1083/jcb.117.3.687	PMC2289439	1572897		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	3	595	10.1083/jcb.117.3.595	PMC2289440	1533397		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	3	505	10.1083/jcb.117.3.505	PMC2289441	1315315		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	3	607	10.1083/jcb.117.3.607	PMC2289442	1374068		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	3	583	10.1083/jcb.117.3.583	PMC2289443	1374067		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	3	483	10.1083/jcb.117.3.483	PMC2289444	1374066		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	3	565	10.1083/jcb.117.3.565	PMC2289445	1315317		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	3	617	10.1083/jcb.117.3.617	PMC2289446	1349305		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	3	539	10.1083/jcb.117.3.539	PMC2289447	1572894		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	3	551	10.1083/jcb.117.3.551	PMC2289448	1572895		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	3	671	10.1083/jcb.117.3.671	PMC2289449	1533398		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	3	531	10.1083/jcb.117.3.531	PMC2289450	1315316		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	3	573	10.1083/jcb.117.3.573	PMC2289451	1533396		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	3	473	10.1083/jcb.117.3.473	PMC2289452	1572892		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	3	643	10.1083/jcb.117.3.643	PMC2289453	1315319		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	4	895	10.1083/jcb.117.4.895	PMC2289454	1374413		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	4	863	10.1083/jcb.117.4.863	PMC2289455	1577862		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	4	745	10.1083/jcb.117.4.745	PMC2289456	1577854		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	4	729	10.1083/jcb.117.4.729	PMC2289457	1577853		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	4	757	10.1083/jcb.117.4.757	PMC2289458	1577855		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	4	717	10.1083/jcb.117.4.717	PMC2289459	1577852		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	4	849	10.1083/jcb.117.4.849	PMC2289460	1577861		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	4	787	10.1083/jcb.117.4.787	PMC2289461	1577858		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	4	825	10.1083/jcb.117.4.825	PMC2289462	1349609		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	4	775	10.1083/jcb.117.4.775	PMC2289463	1577857		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	4	889	10.1083/jcb.117.4.889	PMC2289464	1315783		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	4	841	10.1083/jcb.117.4.841	PMC2289465	1577860		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	4	765	10.1083/jcb.117.4.765	PMC2289466	1577856		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	4	903	10.1083/jcb.117.4.903	PMC2289467	1577863		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	4	813	10.1083/jcb.117.4.813	PMC2289468	1349608		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	4	701	10.1083/jcb.117.4.701	PMC2289469	1577851		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	4	799	10.1083/jcb.117.4.799	PMC2289470	1577859		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	4	877	10.1083/jcb.117.4.877	PMC2289471	1315782		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	5	1109	10.1083/jcb.117.5.1109	PMC2289472	1374416		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	5	1085	10.1083/jcb.117.5.1085	PMC2289473	1577867		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	5	1119	10.1083/jcb.117.5.1119	PMC2289474	1577869		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	5	1067	10.1083/jcb.117.5.1067	PMC2289475	1315784		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	5	1041	10.1083/jcb.117.5.1041	PMC2289476	1533642		live
J Cell Biol	0021-9525	1540-8140	1992	117.0	5	1023	10.1083/jcb.117.5.1023	PMC2289477	1577865		live
